,"Jour du 
mois",Date,Jour,"POIDS
NET",DEVOIEMENT,Tonnage incinéré,APPORTS VERRE,EVACUATION VERRE PLANIFIEE,"EVACUATION 
VERRE Réel","APPORTS
EMBALLAGE","EVACUATION
EMBALLAGE","Dispo quotidien
 en %",Temps de fonctionnement L1,Temps de fonctionnement L1 min,Temps de fonctionnement cumulé mensuel L1,Temps de fonctionnement cumulé mensuel L1 min,"Cumul Dispo mensuelle
 en %",Temps d'arret L1,"Evènements
Ligne 1","Refiom 
Planifié","Refiom 
Réel","Ferraille
Planifié","Ferraille
Réel","Machefers
Planifié","Machefers
Réel","Niveau Refiom
Réel",Dépotage BICARBONATE planifié," Dépotage BICARBONATE 
Réel",Niveau BICAR,Dépotage CHARBON ACTIF planifié,"Dépotage CHARBON
 ACTIF Réel","Niveau CHARBON
 ACTIF",Dépotage AMMONIAQUE planifié,Dépotage AMMONIAQUE Réel,Niveau AMMONIAQUE,Four haut,Four bas,DeNox,Gaz global,Eau forage,Eau de ville industrielle,Docuhe P2,Eau déminé,Eau de process (SNCC),Compteur eau déminéralisée jour FQ64327 (local osomoseur),Eau de ville/indus. FQ64005 (SNCC),Eau de trémis OM ,Eau adoucie ,"Delta conso 
,27,27/03/2025,jeudi,"254,92",0,230,,,"18,88","6,38","7,00","100,00%",24,0,644,56,"99,5%","0,0",,"27,00","26,06",,"19,72",,"56,66",31,,,39,,,9,,,12,0,"0,0",0,0,32,0,,,0,"18,00",9,"0,00",28,7,31,65,"272,08%","136,00","139,00","5,67"
,28,28/03/2025,vendredi,"251,06",0,230,,,,"9,00","6,92","100,00%",24,0,668,56,"99,5%","0,0",,,,,,,"53,84",38,,,35,,,9,,,12,0,"0,0",0,0,36,0,,,0,"19,00",15,"0,00",30,2,30,56,"232,92%","111,00","119,00","4,63"
,29,29/03/2025,samedi,"73,12",0,216,,,,,,"100,00%",24,0,692,56,"99,6%","0,0",,,,,,,,45,,,31,,,9,,,12,0,"0,0",0,0,"35,5",0,,,0,"19,00",15,"0,00",29,-1,31,55,"228,33%","130,90","125,00","5,45"
,30,30/03/2025,dimanche,"0,96",0,216,,,,,,"100,00%",24,0,716,56,"99,6%","0,0",,,,,,,,51,,,28,,,9,,,12,0,"0,0",0,0,"27,4",0,,,0,"13,00",11,"0,00",23,-6,30,54,"226,25%","124,30","120,00","5,18"
,31,31/03/2025,lundi,"332,60",0,230,"14,18",,,"10,92",6,"100,00%",24,0,739,56,"99,6%","0,0",Changement d'heure ,"27,00","24,00",,,,"55,02",32,,,25,,,9,,,11,100,"140,0",0,240,"57,7",0,,,0,"21,00",14,"0,00",30,7,30,55,"227,08%","122,80","123,00","5,12"
avril 2025,1,01/04/2025,mardi,"345,32",0,230,,,,"7,06","11,06","100,00%",24,0,24,0,"100,0%","0,0",,,,,"17,32",,"24,28",39,,,21,,,9,,,11,0,"0,0",0,0,"34,0",0,,,0,"17,00",14,"0,00",27,-3,31,60,"250,00%","127,00","129,00","5,29"
,2,02/04/2025,mercredi,"286,02",0,230,,,,"6,66","11,14","100,00%",24,0,48,0,"100,0%","0,0",,,,,,,"80,20",45,,,17,,,9,,,11,0,"0,0",0,0,"39,0",0,,,0,"17,00",12,"0,00",26,-1,30,42,"175,00%","128,00","128,00","5,33"
,3,03/04/2025,jeudi,"256,52",0,230,,,,"6,92",,"100,00%",24,0,72,0,"100,0%","0,0",,"27,00","25,90",,,,,25,,29,42,,,9,,,11,1,"0,0",0,1,"37,0",0,,,0,"18,00",12,"0,00",29,3,30,44,"183,33%","121,00","120,00","5,04"
,4,04/04/2025,vendredi,"279,18",0,230,"11,30",,,"9,94",,"100,00%",24,0,96,0,"100,0%","0,0",,,,,,,"56,20",31,,,38,,,9,,,11,3,"4,0",0,7,"40,0",0,,,0,"15,00",16,"0,00",29,0,31,45,"187,50%","122,00","122,00","5,08"
,5,05/04/2025,samedi,"81,12",0,154,,,,,,"94,79%",22,45,118,45,"99,0%","1,3",ASL sur température haute vapeur entrée surchauffeurs (TT12053) + Moto-réducteur 2 hors service,,,,,,,38,,,35,,,9,,,10,0,"1,0",0,1,35,2,,,4,"22,00",15,"0,00",27,-2,28,19,"83,52%","107,00","111,00","4,46"
,6,06/04/2025,dimanche,"1,22",0,192,,,,,,"100,00%",24,0,142,45,"99,1%","0,0",,,,,,,,46,,,29,,,9,,,10,390,"624,0",0,1 014,41,11,,,15,"18,00",13,"0,00",29,2,31,29,"122,08%","125,80","125,00","5,24"
,7,07/04/2025,lundi,"403,88",0,230,,,19,"11,18","11,16","100,00%",24,0,166,45,"99,3%","0,0",,"27,00","9,02",,"16,34",,"59,36",42,,,25,,,9,,,10,17,"23,0",0,40,38,12,,,7,"20,00",12,"0,00",30,1,30,39,"163,33%","129,50","129,00","5,40"
,8,08/04/2025,mardi,"307,52",0,168,,,,"7,16","9,96","100,00%",24,0,190,45,"99,3%","0,0",,,,,"15,98",,"54,00",48,,,22,,,8,,,10,513,"742,0",0,1 255,"45,4",0,,,"2,336","20,00",13,"0,00",32,2,28,35,"145,00%","118,50","119,00","4,94"
,9,09/04/2025,mercredi,"261,64",0,211,,,,"7,78","12,48","91,67%",22,0,212,45,"98,5%","2,0",Phase Arrêt pour Maintenance Trémie + Convoyeur,"27,00","25,86",,,,"56,38",,,,,,,,,,,178,"260,0",0,438,,,,,,,,,,-32,26,,"0,00%",,,"0,00"
,10,10/04/2025,jeudi,"146,52",0,0,,,,"6,84",4,"0,00%",0,0,212,45,"88,6%","24,0",Arrêt pour Maintenance Trémie + Convoyeur,,,,"5,28",,"53,64",26,,26,46,,,8,,,9,453,"644,0",0,1 097,,,,,"0,047",,44,"0,00",,0,1,21,"0,00%","90,70","91,70","3,78"
,11,11/04/2025,vendredi,"186,00",0,0,"13,98",,,"10,06","10,50","0,00%",0,0,212,45,"80,6%","24,0",Arrêt pour Maintenance Trémie + Convoyeur,,,,,,"57,10",,,,,,,,,,,,,,0,,,,,,,,,,0,1,,"0,00%",,,"0,00"
,12,12/04/2025,samedi,"35,96",0,86,,,,,,"37,92%",9,6,221,51,"77,0%","14,9",Redémarrage de ligne suite à l'arrêt,,,,,,,27,,,45,,,8,,,9,,,,0,303,8,,,6,"160,00",66,"0,00",244,244,16,22,"239,56%","14,80","15,00","0,62"
,13,13/04/2025,dimanche,"0,92",0,230,,,,,,"100,00%",24,0,245,51,"78,8%","0,0",,,,,,,,33,,,41,,,8,,,9,2 504,"2882,0",0,5 386,69,0,,,0,"42,00",29,"0,00",63,-181,28,75,"311,25%","104,00","103,90","4,33"
,14,14/04/2025,lundi,"251,70",0,230,,,,"11,44","8,96","100,00%",24,0,269,51,"80,3%","0,0",,,"23,90",,,,,13,,,38,,,8,,,9,,,,0,46,0,,,0,"26,00",23,"0,00",39,-24,31,71,"297,08%","120,70","121,40","5,03"
,15,15/04/2025,mardi,"283,58",0,230,"9,18",,,"6,92","10,48","100,00%",24,0,293,51,"81,6%","0,0",,,"14,70",,,,,20,,,34,,,8,,,8,,,,0,"42,0",0,,,"0,3","21,00",17,"0,00",33,-6,30,31,"127,50%","120,90","121,00","5,04"
,16,16/04/2025,mercredi,"187,32",0,230,,,,"7,48","11,94","100,00%",24,0,317,51,"82,8%","0,0",,,"21,96",,,,"54,78",1,,,31,,,8,,,8,43,"1,0",0,44,"43,0",4,,,"2,916","22,00",17,"0,00",33,0,30,40,"166,67%","117,80","118,00","4,91"
,17,17/04/2025,jeudi,"154,32",0,221,,,,"6,54",11,"97,92%",23,30,341,21,"83,7%","0,5",Fermeture Trémie (Test Pont nord EE),,,,"9,96",,,7,,,28,,,8,,,8,125,"152,0",0,277,"45,0",0,,,"0,229","22,00",19,"0,00",35,2,30,49,"207,23%","121,70","122,00","5,07"
,18,18/04/2025,vendredi,"168,30",0,230,,,,"9,94","4,06","100,00%",24,0,365,21,"84,6%","0,0",,,,,,,"56,64",13,,29,54,,,8,,,7,10,"11,0",0,21,"41,0",0,,,"0,255","22,00",19,"0,00",33,-2,29,47,"196,25%","109,70","110,00","4,57"
,19,19/04/2025,samedi,"23,66",0,221,,,,,,"96,53%",23,10,388,31,"85,2%","0,8",Black out sans ilotâge ,,,,,,,20,,,50,,,8,,,7,,,0,0,37,0,,,0,"19,00",15,"0,00",29,-4,30,38,"164,46%","117,80","118,00","4,91"
,20,20/04/2025,dimanche,"3,00",0,216,,,,,,"100,00%",24,0,412,31,"85,9%","0,0",,,,,,,,25,,,46,,,8,,,7,0,"0,0",0,0,55,0,,,0,"31,00",24,"0,00",44,15,31,53,"220,42%","116,20","117,00","4,84"
,21,21/04/2025,lundi,"208,46",0,216,,,,"8,76",,"100,00%",24,0,436,31,"86,6%","0,0",,,,,,,,32,,,43,,,8,,,6,0,"0,0",0,0,47,0,,,0,"23,00",21,"5,00",36,-8,31,53,"220,00%","140,30","140,80","5,85"
,22,22/04/2025,mardi,"236,88",0,216,,,,"6,24","5,16","100,00%",24,0,460,31,"87,2%","0,0",,,"13,10",,"9,22",,"55,63",37,,,40,,,8,,,6,0,"0,0",0,0,"41,1",0,,,0,"22,00",20,"0,00",34,-2,27,42,"175,83%","104,70","104,80","4,36"
,23,23/04/2025,mercredi,"216,76",0,230,,,,"7,10","12,32","100,00%",24,0,484,31,"87,8%","0,0",,,"23,24",,,,"138,74",19,,,36,,,8,,,6,75,"101,0",0,176,"39,2",0,,,"0,101","20,00",15,"0,00",33,-1,30,36,"149,17%","111,20","111,40","4,63"
,24,24/04/2025,jeudi,"139,84",0,230,,,22,"6,68",13,"100,00%",24,0,508,31,"88,3%","0,0",,,,,"11,74",,"142,86",25,,,34,,,8,,,6,88,"121,0",0,209,"53,0",0,,,0,"19,00",18,"0,00",29,-4,29,38,"156,25%","117,60","118,00","4,90"
,25,25/04/2025,vendredi,"188,16",0,230,"13,66",,"27,08","9,54","12,86","100,00%",24,0,532,31,"88,8%","0,0",,,,,,,"111,52",32,,,30,,,8,,,5,0,"0,0",0,0,"43,0",0,,,0,"23,00",19,"0,00",35,6,31,45,"189,17%","137,10","139,00","5,71"
,26,26/04/2025,samedi,"34,28",0,230,,,,,,"100,00%",24,0,556,31,"89,2%","0,0",,,,,,,,38,,,25,,,7,,,5,0,"0,0",0,0,34,0,,,0,"20,00",17,"0,00",30,-5,30,36,"150,00%","132,00","131,00","5,50"
,27,27/04/2025,dimanche,"0,94",0,230,,,,,,"100,00%",24,0,580,31,"89,6%","0,0",,,,,,,,45,,,22,,,7,,,5,0,"0,0",0,0,38,0,,,0,"19,00",15,"0,00",28,-2,30,33,"137,50%","121,00","122,00","5,04"
,28,28/04/2025,lundi,"388,38",0,206,,,,"13,74","6,28","100,00%",24,0,604,31,"90,0%","0,0",,,"22,00",,,,"142,56",25,,,19,,,7,,,5,,,,0,35,0,,,0,"18,00",13,"0,00",29,1,28,24,"99,17%","100,10","99,00","4,17"
,29,29/04/2025,mardi,"321,96",0,206,,,,"8,30","7,40","100,00%",24,0,628,31,"90,3%","0,0",,,,,,,"143,86",31,,29,45,,,7,,,4,0,"0,0",304,304,"30,0",0,,,"0,026","18,00",17,"0,00",27,-2,27,24,"100,00%","117,30","118,00","4,89"
,30,30/04/2025,mercredi,"332,84",0,206,"14,88",,,"9,12","13,04","100,00%",24,0,652,31,"90,6%","0,0",,,,,"9,62",,"78,48",37,,,42,,,7,,,4,15,"22,0",163,200,"71,9",0,,,0,"23,00",22,"0,00",34,7,27,7,"29,58%","119,20","120,30","4,97"
mai 2025,1,01/05/2025,jeudi,"19,86",0,206,,,,,,"100,00%",24,0,24,0,"100,0%","0,0",,,,,,,,42,,,39,,,7,,,4,5,"7,0",284,296,"31,8",0,,,0,"18,00",16,"0,00",25,-9,27,36,"147,92%","109,60","109,60","4,57"
,2,02/05/2025,vendredi,"294,14",0,230,,,,"10,78","6,70","100,00%",24,0,48,0,"100,0%","0,0",,,"24,14",,,,,22,,,36,,,7,,20,27,0,"0,0",304,304,"46,3",1,,,0,"24,00",18,"0,00",38,13,28,46,"190,00%","123,80","116,10","5,16"
,3,03/05/2025,samedi,"141,96",0,198,,,,,,"94,24%",22,37,70,37,"98,1%","1,4",Problème combustion,,,,,,,28,,,32,,,7,,,26,0,"0,0",0,0,"34,0",0,,,"4,449","17,00",16,"0,00",26,-12,30,37,"163,60%","104,00","113,00","4,33"
,4,04/05/2025,dimanche,"1,30",0,189,,,,,,"88,06%",21,8,91,45,"95,6%","2,9",Problème combustion,,,,,,,33,,,28,,,7,,,26,384,"1029,0",0,1 413,"57,0",4,,,0,"18,00",17,"0,00",28,2,28,65,"307,57%","112,00","109,00","4,67"
,5,05/05/2025,lundi,"492,94",0,96,,,,"11,20","4,30","67,08%",16,6,107,51,"89,9%","7,9",Explosion chaudière ONLINECLEANING + Débourrage Caisson 1,,"22,70",,"15,04",,,15,,,26,,,7,,,26,653,"1666,0",0,2 319,40,0,,,1,"21,00",16,"0,00",30,2,25,83,"515,53%","86,00","89,00","3,58"
,6,06/05/2025,mardi,"388,42",0,230,,,,"7,12","5,66","100,00%",24,0,131,51,"91,6%","0,0",,,,,,,"50,58",20,,,22,,,7,,,26,0,"0,0",0,0,33,0,,,0,"15,00",14,"0,00",25,-5,31,95,"395,83%","115,00","114,00","4,79"
,7,07/05/2025,mercredi,"303,66",0,230,,,,"5,40","5,90","100,00%",24,0,155,51,"92,8%","0,0",,,,,,,,27,,,19,,,7,,,25,0,"0,0",0,0,35,0,,,0,"20,00",15,"0,00",31,6,31,92,"383,33%","96,00","109,00","4,00"
,8,08/05/2025,jeudi,"221,46",0,230,,,,"9,94",,"100,00%",24,0,179,51,"93,7%","0,0",,,,,,,,33,,,16,,,7,,,25,0,"0,0",0,0,"24,0",0,,,0,"14,00",19,"0,00",21,-10,31,24,"100,00%","122,80","123,00","5,12"
,9,09/05/2025,vendredi,"244,56",0,147,"14,82",,,"10,64","8,10","91,04%",21,51,201,42,"93,4%","2,2",Panne moteur câble élec PONT SUD + PONT NORD indisponible,,"38,16",,"16,64",,"55,78",13,,27,40,,,7,,,25,,,,0,"45,9",0,,,0,"19,00",18,"0,00",31,10,29,22,"98,86%","136,60","131,90","5,69"
,10,10/05/2025,samedi,"26,40",0,230,,,,,,"100,00%",24,0,225,42,"94,0%","0,0",,,,,,,,19,,,36,,,6,,,25,199,"599,0",0,798,"32,3",0,,,"0,0","17,00",15,"0,00",24,-7,31,37,"153,33%","131,20","128,30","5,47"
,11,11/05/2025,dimanche,"0,58",0,230,,,,,,"100,00%",24,0,249,42,"94,6%","0,0",,,,,,,,26,,,32,,,6,,,24,0,"0,0",0,0,"43,8",0,,,"0,051","18,00",16,"0,00",28,4,31,35,"146,25%","123,42","120,60","5,14"
,12,12/05/2025,lundi,"433,44",0,221,,,,"11,28",,"98,06%",23,32,273,14,"94,9%","0,5",Black out sans ilotâge ,,"22,12",,,,,8,,,30,,,6,,,24,0,"0,0",0,0,45,0,,,0,"23,00",23,"0,00",,-28,29,35,"146,60%","108,98","110,20","4,54"
,13,13/05/2025,mardi,"359,52",0,230,,,,"7,54","20,26","100,00%",24,0,297,14,"95,3%","0,0",,,,,"10,62",,"87,08",14,,,25,,,6,,,24,0,"0,0",0,0,40,0,,,0,"17,00",14,"0,00",61,61,31,38,"158,33%","134,00","132,00","5,58"
,14,14/05/2025,mercredi,"302,94",0,230,"13,84",,,"7,50","21,48","100,00%",24,0,321,14,"95,6%","0,0",,,,,,,"112,24",22,,29,50,,,6,,,24,0,"0,0",0,0,40,0,,,0,"21,00",21,"0,00",31,-30,30,38,"158,33%","133,00","136,00","5,54"
,15,15/05/2025,jeudi,"236,70",0,230,,,30,"8,38","12,48","100,00%",24,0,345,14,"95,9%","0,0",,,"23,10",,"19,42",,"140,10",1,,,47,,,6,,,24,0,"0,0",0,0,"28,0",0,,,"0,026","14,00",13,"0,00",22,-9,28,36,"150,00%","110,00","111,00","4,58"
,16,16/05/2025,vendredi,"270,10",0,221,,,,"10,42","12,82","99,10%",23,47,369,1,"96,1%","0,2",Problème Combustion ,,,,,,"85,78",18,,,42,,,6,,,24,0,"0,0",0,0,"33,0",0,,,0,"17,00",21,"0,00",26,4,30,37,"156,41%","125,80","124,00","5,24"
,17,17/05/2025,samedi,"56,90",0,230,,,,,32,"100,00%",24,0,393,1,"96,3%","0,0",,,,,,,,17,,,38,,,6,,,23,0,"0,0",0,0,"28,0",0,,,0,"16,00",17,"0,00",27,1,31,30,"123,33%","107,90","110,00","4,50"
,18,18/05/2025,dimanche,"1,08",0,230,,,,,,"100,00%",24,0,417,1,"96,5%","0,0",,,,,,,,24,,,33,,,6,,,23,0,"0,0",0,0,"41,0",0,,,0,"22,00",18,"0,00",32,5,31,41,"168,75%","142,80","142,00","5,95"
,19,19/05/2025,lundi,"373,12",0,225,"11,94",,,"11,66","12,78","98,68%",23,41,440,42,"96,6%","0,3",ASL Tirage,,,,,,,32,,,29,,,6,,,23,0,"0,0",0,0,63,0,,,0,"20,00",18,"0,00",31,-1,29,36,"150,74%","107,70","108,00","4,49"
,20,20/05/2025,mardi,"320,16",0,235,,,,"7,02","5,02","100,00%",24,0,464,42,"96,8%","0,0",,,,,"22,36",,,38,,15,54,,,6,,,23,2,"0,0",0,2,39,0,,,0,"17,00",17,"0,00",26,-5,31,28,"115,83%","114,70","116,00","4,78"
,21,21/05/2025,mercredi,"256,52",0,216,,,20,"7,14","5,44","100,00%",24,0,488,42,"97,0%","0,0",Débourrage caisson 3 sous rouleau,,,,,,"163,74",44,,,51,,,6,,,23,123,"649,0",0,772,33,1,,,0,"14,00",16,"0,00",27,1,29,35,"146,67%","125,10","124,00","5,21"
,22,22/05/2025,jeudi,"155,38",0,216,,,,"7,10","6,14","100,00%",24,0,512,42,"97,1%","0,0",,,"24,88",,"10,04",,"140,80",23,,,49,,,6,,,22,0,"0,0",0,0,"44,3",0,,,0,"23,00",21,"0,00",28,1,31,35,"144,17%","128,60","129,30","5,36"
,23,23/05/2025,vendredi,"184,08",0,216,"13,20",,,"9,96","13,04","100,00%",24,0,536,42,"97,2%","0,0",,,,,,,"110,34",29,,,46,,,6,,,22,0,"0,0",0,0,"39,2",0,,,0,"20,00",19,"0,00",32,4,30,35,"145,00%","127,70","129,40","5,32"
,24,24/05/2025,samedi,"32,73",0,216,,,,,,"100,00%",24,0,560,42,"97,3%","0,0",,,,,,,,34,,,42,,,5,,,22,0,"0,0",0,0,"33,8",0,,,0,"16,00",17,"0,00",26,-6,31,34,"139,58%","128,40","129,10","5,35"
,25,25/05/2025,dimanche,"1,12",0,216,,,,,,"100,00%",24,0,584,42,"97,4%","0,0",,,,,,,,39,,,39,,,5,,,22,0,"0,0",0,0,"35,8",0,,,0,"20,00",19,"0,00",28,2,29,34,"140,83%","120,90","121,60","5,04"
,26,26/05/2025,lundi,"238,52",0,216,"18,16",,,"10,96","6,96","100,00%",24,0,608,42,"97,5%","0,0",,,"22,92",,"8,68",,"55,24",21,,,36,,,5,,,21,0,"0,0",0,0,44,0,,,0,"21,00",22,"0,00",36,8,31,36,"148,75%","120,00","120,60","5,00"
,27,27/05/2025,mardi,"219,60",0,216,,,,"5,72","12,34","100,00%",24,0,632,42,"97,6%","0,0",,,,,,,"83,98",27,,,32,,,5,,,21,0,"0,0",0,0,44,0,,,0,"17,00",20,"0,00",26,-10,30,33,"136,25%","119,90","121,00","5,00"
,28,28/05/2025,mercredi,"197,94",0,216,,,,"7,14","6,78","100,00%",24,0,656,42,"97,7%","0,0",,,,,"8,54",,"28,54",33,,,29,,,5,,,21,0,"0,0",0,0,44,0,,,0,"22,00",18,"0,00",33,7,30,36,"151,25%","129,30","127,00","5,39"
,29,29/05/2025,jeudi,"128,34",0,207,,,,"6,26",,"98,75%",23,42,680,24,"97,8%","0,3",Pertes EDF sans îlotage,,,,,,,39,,,26,,,5,,,21,0,"0,0",0,0,"41,0",0,,,0,"22,00",24,"0,00",34,1,30,32,"136,29%","113,00","115,00","4,71"
,30,30/05/2025,vendredi,"214,58",0,207,,,,"8,52","13,32","99,24%",23,49,704,13,"97,8%","0,2",ASL Four,,"23,38",,,,,,,29,,,,,,,,0,"7,0",0,7,"45,0",0,,,,"21,00",,,33,-1,30,,"0,00%",,,"0,00"
,31,31/05/2025,samedi,"82,68",0,216,,,,,,"100,00%",24,0,728,13,"97,9%","0,0",,,,,,,,25,,,47,,,5,,,21,0,"0,0",0,0,"43,0",0,,,0,"19,00",40,"0,00",32,-1,30,64,"268,33%","236,60","238,00","9,86"
juin 2025,1,01/06/2025,dimanche,"1,16",0,216,,,,,,"100,00%",24,0,24,0,"100,0%","0,0",,,,,,,,30,,,44,,,5,,,21,0,"0,0",0,0,"19,0",0,,,0,"17,00",20,"0,00",22,-10,30,29,"121,25%","114,10","115,00","4,75"
,2,02/06/2025,lundi,"243,18",0,207,"15,96",,,"12,00","7,24","98,47%",23,38,47,38,"99,2%","0,4",ASL Four,,,,,,"111,16",37,,,40,,,5,,,20,0,"0,0",0,0,"46,7",0,,,0,"26,00",27,"0,00",41,19,29,38,"158,67%","128,30","128,40","5,35"
,3,03/06/2025,mardi,"258,66",0,207,,,,"7,00",6,"98,82%",23,43,71,21,"99,1%","0,3",ASL (dépression four trés basse sur explosion) et perte turbine,,"23,38",,"22,04",,"82,50",17,,,37,,,5,,,20,0,"6,0",0,6,"52,5",0,,,0,"24,00",24,"0,00",39,-2,30,32,"135,77%","111,90","112,20","4,66"
,4,04/06/2025,mercredi,"260,84",0,216,,,"17,02","7,68","7,00","100,00%",24,0,95,21,"99,3%","0,0",,,,,,,"30,26",23,,,34,,,4,,,20,0,"1,0",0,1,"34,8",0,,,"0,914","19,00",28,"0,00",29,-10,30,29,"121,25%","107,80","108,80","4,49"
,5,05/06/2025,jeudi,"200,78",0,216,"16,60",,,"8,32","6,04","100,00%",24,0,119,21,"99,5%","0,0",,,"23,64",,"46,30",,"195,30",4,,,30,,,4,,,20,1,"37,0",0,38,41,2,,,0,"23,00",18,"0,00",35,6,30,36,"149,58%","128,60","129,60","5,36"
,6,06/06/2025,vendredi,"196,40",0,216,,,,"10,44","5,96","100,00%",24,0,143,21,"99,5%","0,0",,,,,,,"28,40",10,,,27,,,4,,,19,0,"1,0",0,1,39,0,,,1,"21,00",22,"0,00",32,-3,30,37,"154,58%","130,90","131,00","5,45"
,7,07/06/2025,samedi,"42,34",0,216,,,,,,"100,00%",24,0,167,21,"99,6%","0,0",,,,,,,,19,,,24,,,4,,,19,0,"0,0",0,0,14,0,,,0,"7,00",8,"0,00",12,-20,29,28,"116,67%","105,00","105,00","4,38"
,8,08/06/2025,dimanche,"1,26",0,144,,,,,,"68,75%",16,30,183,51,"95,8%","7,5",Mise à l'arrêt ligne ,,,,,,,,,,,,,,,,,0,"0,0",0,0,,,,,,,,,,-12,18,,"0,00%",,,"0,00"
,9,09/06/2025,lundi,"143,30",0,0,,,,"10,56","7,02","0,00%",0,0,183,51,"85,1%","24,0",ATP 2025,,,,,,,,,,,,,,,,,24,"32,0",0,56,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,10,10/06/2025,mardi,"156,26",0,0,,,20,"6,58",15,"0,00%",0,0,183,51,"76,6%","24,0",ATP 2025,,,,,,,20,,,22,,,4,,,19,0,"0,0",0,0,"68,0",0,,,"0,127","46,00",39,"0,00",51,51,0,25,"0,00%","68,00","69,00","2,83"
,11,11/06/2025,mercredi,"126,00",0,0,,,,"6,72","6,00","0,00%",0,0,183,51,"69,6%","24,0",ATP 2025,,"19,34",,,,"28,00",,,,,,,,,,,,,,0,,,,,,,,,,-51,0,,"0,00%",,,"0,00"
,12,12/06/2025,jeudi,"103,16",0,0,,,,"7,12","5,28","0,00%",0,0,183,51,"63,8%","24,0",ATP 2025,,,,,,"56,16",,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,13,13/06/2025,vendredi,"104,56",0,0,"12,66",,,"10,02","5,32","0,00%",0,0,183,51,"58,9%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,14,14/06/2025,samedi,"27,66",0,0,,,,,,"0,00%",0,0,183,51,"54,7%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,15,15/06/2025,dimanche,"5,90",0,0,,,,,,"0,00%",0,0,183,51,"51,1%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,16,16/06/2025,lundi,"180,90",0,0,,,,"13,22","5,56","0,00%",0,0,183,51,"47,9%","24,0",ATP 2025,,,,"15,76",,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,17,17/06/2025,mardi,"195,52",0,0,"17,10",,,"7,24",6,"0,00%",0,0,183,51,"45,1%","24,0",ATP 2025,,,,"7,64",,"82,70",,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,18,18/06/2025,mercredi,"119,82",0,0,,,,"7,66","14,84","0,00%",0,0,183,51,"42,6%","24,0",ATP 2025,,,,,,,,,,,,,,,,,0,"0,0",0,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,19,19/06/2025,jeudi,"81,74",0,0,,,,"6,84","6,00","0,00%",0,0,183,51,"40,3%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,20,20/06/2025,vendredi,"110,64",0,0,"15,74",,"22,04","9,64","13,24","0,00%",0,0,183,51,"38,3%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,21,21/06/2025,samedi,"29,62",0,0,,,,,,"0,00%",0,0,183,51,"36,5%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,22,22/06/2025,dimanche,"1,30",0,0,,,,,,"0,00%",0,0,183,51,"34,8%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,23,23/06/2025,lundi,"170,38",0,0,,,,"11,08","11,86","0,00%",0,0,183,51,"33,3%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,24,24/06/2025,mardi,"195,22",0,0,,,50,"6,94",15,"0,00%",0,0,183,51,"31,9%","24,0",ATP 2025,,,,,,,2,,,22,,,4,,,19,0,"0,0",0,0,,,,,,,,,,0,0,,"0,00%",,,"0,00"
,25,25/06/2025,mercredi,"127,90",0,0,"14,40",,,"8,32","12,60","0,00%",0,0,183,51,"30,6%","24,0",ATP 2025,,,,,,,,,,,,,,,,,470,"4,0",0,474,"281,0",9,,,,,,,220,220,0,,"0,00%",,,"0,00"
,26,26/06/2025,jeudi,"147,56",0,0,,,,"7,46","5,46","0,00%",0,0,183,51,"29,5%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,-220,3,,"0,00%",,,"0,00"
,27,27/06/2025,vendredi,"167,38",0,0,,,,"10,64",,"0,00%",0,0,183,51,"28,4%","24,0",ATP 2025,,,,,,,,,,,,,,,,,726,"1393,0",0,2 119,,,,,,,,,,0,3,,"0,00%",,,"0,00"
,28,28/06/2025,samedi,"25,78",0,0,,,,,,"0,00%",0,0,183,51,"27,4%","24,0",ATP 2025,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,3,,"0,00%",,,"0,00"
